tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
120,2020-02-01 08:41:49.7560,2020-02-01 08:43:49.9490,3213,Van Vorst Park,40.71848892,-74.047726625,3186,Grove St PATH,40.71958611647170,-74.04311746358870,42174,Subscriber,1977,1
366,2020-02-01 08:41:57.0140,2020-02-01 08:48:03.4500,3201,Dey St,40.737711,-74.066921,3195,Sip Ave,40.73089709786180,-74.06391263008120,42287,Subscriber,1988,1
188,2020-02-01 08:42:16.3100,2020-02-01 08:45:25.0140,3272,Jersey & 3rd,40.72333158646440,-74.04595255851740,3203,Hamilton Park,40.727595966,-74.044247311,42122,Subscriber,1980,1
456,2020-02-01 08:42:55.3470,2020-02-01 08:50:32.1620,3279,Dixon Mills,40.721630142638400,-74.04996782541280,3225,Baldwin at Montgomery,40.7236589,-74.0641943,42279,Subscriber,1993,1
302,2020-02-01 08:44:56.0460,2020-02-01 08:49:58.7390,3679,Bergen Ave,40.722103786686000,-74.07145500183110,3195,Sip Ave,40.73089709786180,-74.06391263008120,42117,Subscriber,1991,2
292,2020-02-01 08:45:37.0720,2020-02-01 08:50:29.3320,3199,Newport Pkwy,40.7287448,-74.0321082,3187,Warren St,40.7211236,-74.03805095,26238,Subscriber,1981,1
354,2020-02-01 08:46:17.6700,2020-02-01 08:52:11.6820,3213,Van Vorst Park,40.71848892,-74.047726625,3639,Harborside,40.7192517,-74.034234,42150,Subscriber,1979,1
134,2020-02-01 08:48:48.4040,2020-02-01 08:51:02.5680,3213,Van Vorst Park,40.71848892,-74.047726625,3186,Grove St PATH,40.71958611647170,-74.04311746358870,26175,Subscriber,1987,1
245,2020-02-01 08:49:32.8180,2020-02-01 08:53:38.5410,3214,Essex Light Rail,40.7127742,-74.0364857,3276,Marin Light Rail,40.71458403535890,-74.04281705617910,42185,Subscriber,1977,1
111,2020-02-01 08:53:06.3300,2020-02-01 08:54:57.6160,3213,Van Vorst Park,40.71848892,-74.047726625,3211,Newark Ave,40.72152515,-74.046304543,26215,Subscriber,1993,2
1261,2020-02-01 08:53:07.1140,2020-02-01 09:14:08.8590,3270,Jersey & 6th St,40.72528910781130,-74.04557168483730,3270,Jersey & 6th St,40.72528910781130,-74.04557168483730,26283,Customer,1969,0
303,2020-02-01 08:53:09.4150,2020-02-01 08:58:13.1020,3212,Christ Hospital,40.734785818,-74.050443636,3210,Pershing Field,40.742677141,-74.051788633,42277,Subscriber,1988,1
1242,2020-02-01 08:53:14.2450,2020-02-01 09:13:56.5680,3270,Jersey & 6th St,40.72528910781130,-74.04557168483730,3270,Jersey & 6th St,40.72528910781130,-74.04557168483730,29451,Subscriber,1989,2
530,2020-02-01 08:53:40.3480,2020-02-01 09:02:30.6900,3195,Sip Ave,40.73089709786180,-74.06391263008120,3203,Hamilton Park,40.727595966,-74.044247311,42287,Subscriber,1971,2
214,2020-02-01 08:54:34.2250,2020-02-01 08:58:08.9560,3205,JC Medical Center,40.71653978099190,-74.0496379137039,3186,Grove St PATH,40.71958611647170,-74.04311746358870,42220,Subscriber,1986,1
211,2020-02-01 08:54:37.9450,2020-02-01 08:58:09.7680,3205,JC Medical Center,40.71653978099190,-74.0496379137039,3186,Grove St PATH,40.71958611647170,-74.04311746358870,42126,Subscriber,1989,1
423,2020-02-01 08:57:06.1970,2020-02-01 09:04:09.5040,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958611647170,-74.04311746358870,29516,Customer,1983,1
327,2020-02-01 09:00:56.7650,2020-02-01 09:06:24.2560,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3195,Sip Ave,40.73089709786180,-74.06391263008120,42332,Subscriber,1988,1
296,2020-02-01 09:01:58.8480,2020-02-01 09:06:55.0780,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3195,Sip Ave,40.73089709786180,-74.06391263008120,42279,Subscriber,1962,1
427,2020-02-01 09:02:12.1210,2020-02-01 09:09:19.5890,3210,Pershing Field,40.742677141,-74.051788633,3195,Sip Ave,40.73089709786180,-74.06391263008120,42209,Subscriber,1985,1
1670,2020-02-01 09:04:44.4910,2020-02-01 09:32:35.2300,3270,Jersey & 6th St,40.72528910781130,-74.04557168483730,3205,JC Medical Center,40.71653978099190,-74.0496379137039,42260,Customer,1969,0
863,2020-02-01 09:04:48.7000,2020-02-01 09:19:12.6620,3199,Newport Pkwy,40.7287448,-74.0321082,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,29599,Subscriber,1990,1
394,2020-02-01 09:07:46.9100,2020-02-01 09:14:21.7320,3280,Astor Place,40.71928220070700,-74.07126188278200,3195,Sip Ave,40.73089709786180,-74.06391263008120,26196,Subscriber,1987,1
537,2020-02-01 09:09:24.8150,2020-02-01 09:18:22.7830,3202,Newport PATH,40.7272235,-74.0337589,3184,Paulus Hook,40.7141454,-74.0335519,42161,Customer,1969,0
267,2020-02-01 09:09:27.6590,2020-02-01 09:13:54.8020,3195,Sip Ave,40.73089709786180,-74.06391263008120,3678,Fairmount Ave,40.72572613742560,-74.07195925712590,42145,Subscriber,1990,1
154,2020-02-01 09:10:30.7850,2020-02-01 09:13:05.4950,3187,Warren St,40.7211236,-74.03805095,3639,Harborside,40.7192517,-74.034234,26272,Customer,1988,1
576,2020-02-01 09:12:11.8700,2020-02-01 09:21:48.2970,3214,Essex Light Rail,40.7127742,-74.0364857,3211,Newark Ave,40.72152515,-74.046304543,42178,Subscriber,1973,1
